ym,gross,net,cost,turnover,n_holdings,ew_topn,univ_ew,n_candidates,pred_vol_ann
2024-06,0.00650161471296276,0.006309526306101685,0.00019208840686107481,0.0640294689536916,27,0.0006456024322869841,-0.027405444890597038,2213,0.0838073402484765
2024-07,0.010637790320880285,0.010424189920495508,0.00021360040038477616,0.07120013346159206,31,-0.014904819903934939,-0.041146643333258306,2221,0.07630014798367891
2024-08,0.00422637824706432,0.0038477246993453215,0.00037865354771899804,0.126217849239666,30,-0.00623868188805881,-0.0011295427210354998,2221,0.08456461599337535
2024-09,0.010008237405645687,0.00930910348024251,0.0006991339254031774,0.2330446418010591,29,-0.016107122301420387,-0.024375903718620282,2231,0.08345661574661535
2024-10,-0.004369701146495575,-0.005000719226487441,0.0006310180799918648,0.21033935999728826,28,-0.027633829701458053,-0.05505893733089175,2241,0.08290993292569084
2024-11,0.03141771810142369,0.03104735266717396,0.0003703654342497339,0.12345514474991129,31,0.030548780899291188,0.015663639263647663,2241,0.08298903390197988
2024-12,-0.015071509358970345,-0.015673166776867836,0.0006016574178974922,0.2005524726324974,27,0.019009200933652482,0.04073458818513503,2244,0.08686083281793587
2025-01,0.04829522000555819,0.04785187569756933,0.00044334430798886046,0.14778143599628682,28,0.029375177188380803,0.020423769328448794,2253,0.08296996466198145
2025-02,-0.007837290740840804,-0.008215699711948502,0.0003784089711076978,0.12613632370256592,32,-0.02893603437617637,-0.05752130432895158,2263,0.08389414143281675
2025-03,0.08172394362524091,0.08084302969037768,0.0008809139348632231,0.293637978287741,32,0.09450889399217548,0.0914694326989925,2267,0.09349340561866754
2025-04,0.0923021510150086,0.09169050728540269,0.0006116437296059061,0.2038812432019687,30,0.06740722151703933,0.03576250471237856,2264,0.08724057737219479
2025-05,0.06332582747377932,0.06247108896310075,0.0008547385106785706,0.28491283689285685,27,0.055838375531846084,0.05942355351708306,2271,0.08630391125041172
2025-06,0.011152576621541442,0.01027432879442981,0.0008782478271116339,0.292749275703878,26,0.026571653110091048,0.01438577416936602,2284,0.09519020772369427
2025-07,-0.01845145398346728,-0.01883463255979091,0.000383178576323628,0.127726192107876,26,-0.014188511122026164,-0.01660889743418144,2295,0.09977996471935484
2025-08,0.01688916705462268,0.015947629269317462,0.0009415377853052198,0.31384592843507325,31,0.003116428298501623,0.023844753857108807,2301,0.0915511013386246
2025-09,-0.007659038331850196,-0.008785486781734138,0.0011264484498839421,0.3754828166279807,29,-0.006244285418231445,0.007978000249200973,2308,0.08861594384300343
2025-10,0.05258148869559695,0.05246188820315657,0.00011960049244038042,0.03986683081346014,29,0.008836475468017888,-0.007357376510440714,2308,0.08980209411001286
2025-11,0.0077424603511364225,0.0064067488986315705,0.0013357114525048516,0.4452371508349505,35,0.031016751127680747,0.031854165671000925,2314,0.10723123405040202
2025-12,0.051218981308737865,0.05054848258680089,0.0006704987219369713,0.22349957397899042,35,0.07058951756789053,0.10224640243477016,2316,0.10473439161456363
2026-01,0.07468940063594903,0.07344437829974872,0.0012450223362003169,0.4150074454001056,35,0.0794644886820836,0.047189658807058846,2325,0.0968092162376373
2026-02,-0.048500103322542704,-0.04961252714908617,0.0011124238265434675,0.37080794218115587,34,-0.06682379053460352,-0.0584887025922145,2324,0.09466535455774555
2026-03,0.06782118533421719,0.06606207343624872,0.001759111897968471,0.586370632656157,31,0.1354533027000712,0.1558246183734123,2330,0.10554096820212718
2026-04,-0.0721219744359525,-0.07262786965722866,0.0005058952212761602,0.16863174042538673,27,-0.09152397222566883,-0.1326341372379315,2325,0.10614976693155562
2026-05,-0.04425959423595129,-0.04512066912409922,0.0008610748881479252,0.28702496271597505,27,-0.06365037510492008,-0.14220349898669896,2325,0.10390894819864405
